System Reference Number  : 33064
Hospital name            : MEDimagem
SW Release               : 5.4.1
Filename                 : G:\monitoring\monitor_magnet_helium_level_value.dat
File date                : 2019-11-02 03:09:12
History length (days)    : 365
 
Date(YYYY-MM-DD)  Time   Magnet helium level value [%]
2023-11-30	03:09:43	70.7
2023-12-01	03:09:42	70.5
2023-12-02	03:09:43	70.2
2023-12-03	03:09:28	70.3
2023-12-04	03:09:44	70.3
2023-12-05	03:09:42	70.3
2023-12-06	03:09:46	70.3
2023-12-07	03:09:46	70.2
2023-12-08	03:09:44	70.1
2023-12-09	03:09:45	70.1
2023-12-10	03:09:46	70.1
2023-12-11	03:09:45	70.1
2023-12-12	03:09:46	70.0
2023-12-13	03:09:46	70.0
2023-12-14	03:09:47	69.9
2023-12-15	03:09:45	69.9
2023-12-16	03:09:42	69.9
2023-12-17	03:09:41	69.9
2023-12-18	03:09:42	69.8
2023-12-19	03:09:42	69.6
2023-12-20	03:09:43	69.5
2023-12-21	03:09:42	69.5
2023-12-22	03:09:43	69.5
2023-12-23	03:09:43	69.5
2023-12-24	03:09:43	69.5
2023-12-25	03:09:43	69.5
2023-12-26	03:09:39	69.5
2023-12-27	03:09:42	69.5
2023-12-28	03:09:44	69.4
2023-12-29	03:09:44	69.5
2023-12-30	03:09:44	69.3
2023-12-31	03:09:45	68.8
2024-01-01	03:09:45	68.8
2024-01-02	03:09:24	69.0
2024-01-03	03:09:43	68.8
2024-01-04	03:09:42	68.7
2024-01-05	03:09:44	68.7
2024-01-06	03:09:42	68.5
2024-01-07	03:09:42	68.5
2024-01-08	03:09:42	68.5
2024-01-09	03:09:40	68.5
2024-01-10	03:09:43	68.5
2024-01-11	03:09:43	68.4
2024-01-12	03:09:32	68.3
2024-01-13	03:09:46	68.1
2024-01-14	03:09:45	68.1
2024-01-15	03:09:47	68.1
2024-01-16	03:09:46	68.3
2024-01-17	03:09:42	68.1
2024-01-18	03:09:41	68.0
2024-01-19	03:09:43	68.0
2024-01-20	03:09:42	67.8
2024-01-21	03:09:40	67.8
2024-01-22	03:09:43	67.8
2024-01-23	03:09:43	67.9
2024-01-24	03:09:42	67.8
2024-01-25	03:09:41	67.8
2024-01-26	03:09:42	67.7
2024-01-27	03:09:42	67.7
2024-01-28	03:09:42	67.7
2024-01-29	03:09:41	67.6
2024-01-30	03:09:42	67.6
2024-01-31	03:09:41	67.4
2024-02-01	03:09:41	67.6
2024-02-02	03:08:41	67.4
2024-02-03	03:09:44	67.4
2024-02-04	03:09:23	67.4
2024-02-05	03:09:27	67.4
2024-02-06	03:09:47	67.3
2024-02-07	03:09:42	67.3
2024-02-08	03:09:41	67.4
